"Rata-Rata Pendapatan Bersih Sebulan Pekerja Berusaha Sendiri*) menurut Provinsi dan Pendidikan yang Ditamatkan (ribu rupiah), 2023",,,,,,,,,,,
,,,,,,,,,,,
Perkotaan+Perdesaan,,,,,,,,,,,Laki-laki+Perempuan
,,Februari 2023,,,,,Agustus 2023,,,,
Kalimantan Selatan,,"1,179.5","1,576.2","1,568.2","2,073.0","1,606.4","1,360.9","1,720.7","1,957.9","2,299.0","1,844.4"
Kalimantan Timur,,"1,591.3","2,397.4","2,699.4","2,849.7","2,528.2","1,999.7","2,623.8","2,973.6","3,478.5","2,928.5"
Kalimantan Utara,,"2,128.5","2,183.1","1,891.3","2,653.3","2,238.9","2,050.2","2,374.7","2,448.2","2,496.8","2,368.7"
,,,,,,,,,,,
Sulawesi Utara,,"1,443.5","1,950.1","1,990.9","2,440.6","2,059.2","1,653.0","1,874.7","2,020.0","2,420.8","2,102.8"
Sulawesi Tengah,,"1,168.1","1,659.4","1,707.4","1,971.8","1,692.0","1,263.0","1,637.5","1,690.9","2,035.5","1,743.4"
Sulawesi Selatan,,"1,433.5","1,919.2","1,841.3","2,087.2","1,858.3","1,480.9","2,042.8","2,170.1","2,403.0","2,089.5"
Sulawesi Tenggara,,"1,193.9","1,712.6","1,780.1","2,182.5","1,740.5","1,249.7","1,616.6","1,683.3","2,162.4","1,767.9"
Gorontalo,,"1,283.3","1,325.0","1,300.2","1,661.2","1,397.6","1,442.1","1,511.9","1,750.6","1,727.4","1,573.4"
Sulawesi Barat,,"1,003.3","1,458.6","1,973.3","1,329.7","1,368.6","1,034.5","1,491.7","2,106.1","1,808.6","1,563.5"
,,,,,,,,,,,
Maluku,,856.1,966.7,"1,444.3","1,507.6","1,283.0","1,354.9","1,301.5","1,560.4","1,926.6","1,632.5"
Maluku Utara,,"1,389.8","1,476.0","2,008.2","1,848.1","1,713.4","1,388.8","1,668.3","1,855.6","2,274.4","1,888.0"
,,,,,,,,,,,
Papua Barat,,"2,122.7","1,948.5","2,531.5","2,674.2","2,333.5","1,937.0","2,349.8","2,526.3","2,882.0","2,510.3"
Papua,,"1,458.0","1,674.0","2,028.5","2,601.7","1,864.8","1,727.6","1,978.1","2,542.8","3,364.5","2,345.0"
,,,,,,,,,,,
Indonesia,,"1,183.2","1,576.0","1,806.2","2,300.0","1,793.5","1,371.2","1,726.2","1,950.4","2,538.7","2,004.0"
,,,,,,,,,,,
Catatan:,,,,,,,,,,,
*),Pekerja berusaha sendiri adalah bekerja atau berusaha dengan menanggung resiko secara ekonomis,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
